winrhtime   winrh
346.4931   -1.1134
346.5000   -1.0192
346.5069   -0.9632
346.5139   -0.9069
346.5208   -0.8566
346.5278   -0.7862
346.5347   -0.7201
346.5417   -0.6559
346.5486   -0.5625
346.5556   -0.4525
346.5625   -0.3773
346.5694   -0.2613
346.5764   -0.1597
346.5833   0.0198
346.5903   0.1163
346.5972   0.1797
346.6042   0.2903
346.6111   0.3727
346.6181   0.4815
346.6250   0.6048
346.6319   0.7007
346.6389   0.7900
346.6458   0.9138
346.6528   0.8927
346.6597   0.9743
346.6667   0.9833
346.6736   1.0447
346.6806   0.9953
346.6875   1.1286
346.6944   1.1827
346.7014   1.2612
346.7083   1.3118
346.7153   1.1747
346.7222   1.2733
346.7292   1.2631
346.7361   1.2932
346.7431   1.3124
346.7500   1.2781
346.7569   1.1664
346.7639   1.1753
346.7708   1.1811
346.7778   1.0823
346.7847   1.0135
346.7917   0.9343
346.7986   0.8600
346.8056   0.7939
346.8125   0.6990
346.8194   0.6026
346.8264   0.5078
346.8333   0.4200
346.8403   0.3356
346.8472   0.2062
346.8542   0.1344
346.8611   0.0297
346.8681   -0.0817
346.8750   -0.1494
346.8819   -0.2636
346.8889   -0.3518
346.8958   -0.4436
346.9028   -0.4970
346.9097   -0.7294
346.9167   -0.8041
346.9236   -0.9165
346.9306   -1.0031
346.9375   -1.1172
346.9444   -1.0308
346.9514   -1.0764
346.9583   -1.0516
346.9653   -1.0634
346.9722   -1.0593
346.9792   -1.1262
346.9861   -1.0976
346.9931   -1.0560
347.0000   -1.0066
347.0069   -0.9554
347.0139   -0.9570
347.0208   -0.8993
347.0278   -0.8391
347.0347   -0.7523
347.0417   -0.6577
347.0486   -0.6180
347.0556   -0.5543
347.0625   -0.4623
347.0694   -0.3907
347.0764   -0.3057
347.0833   -0.2198
347.0903   -0.1349
347.0972   -0.0479
347.1042   0.0439
347.1111   0.1357
347.1181   0.2257
347.1250   0.3358
347.1319   0.4274
347.1389   0.5146
347.1458   0.5847
347.1528   0.5922
347.1597   0.5946
347.1667   0.6824
347.1736   0.7205
347.1806   0.7785
347.1875   0.8365
347.1944   0.7875
347.2014   0.8457
347.2083   0.9594
347.2153   1.0260
347.2222   1.0917
347.2292   1.0916
347.2361   1.0103
347.2431   0.9711
347.2500   0.8832
347.2569   0.9330
347.2639   0.9239
347.2708   0.9846
347.2778   0.9095
347.2847   0.8789
347.2917   0.7416
347.2986   0.6803
347.3056   0.6166
347.3125   0.5222
347.3194   0.4639
347.3264   0.3637
347.3333   0.2547
347.3403   0.1573
347.3472   0.0815
347.3542   0.0057
347.3611   0.0828
347.3681   0.0377
347.3750   -0.0917
347.3819   -0.2310
347.3889   -0.3238
347.3958   -0.4095
347.4028   -0.5252
347.4097   -0.6219
347.4167   -0.7915
347.4236   -0.8943
347.4306   -0.9691
347.4375   -1.0177
347.4444   -1.0393
347.4514   -1.1181
347.4583   -1.1312
347.4653   -1.1776
347.4722   -1.2642
347.4792   -1.2596
347.4861   -1.2716
347.4931   -1.2795
347.5000   -1.2749
347.5069   -1.2770
347.5139   -1.2429
347.5208   -1.1909
347.5278   -1.1775
347.5347   -1.0661
347.5417   -1.1290
347.5486   -1.0578
347.5556   -0.9741
347.5625   -0.8948
347.5694   -0.8779
347.5764   -0.6591
347.5833   -0.6168
347.5903   -0.5980
347.5972   -0.4825
347.6042   -0.3967
347.6111   -0.3051
347.6181   -0.0951
347.6250   0.0355
347.6319   0.1544
347.6389   0.2616
347.6458   0.3661
347.6528   0.4672
347.6597   0.5801
347.6667   0.7049
347.6736   0.8058
347.6806   0.9072
347.6875   1.0156
347.6944   1.0870
347.7014   1.1998
347.7083   1.2879
347.7153   1.3114
347.7222   1.3767
347.7292   1.2377
347.7361   1.2807
347.7431   1.3054
347.7500   1.5251
347.7569   1.7429
347.7639   1.6840
347.7708   1.6426
347.7778   1.5395
347.7847   1.5543
347.7917   1.2495
347.7986   1.4242
347.8056   1.3269
347.8125   1.1712
347.8194   1.0819
347.8264   0.9285
347.8333   0.9547
347.8403   0.8563
347.8472   0.7495
347.8542   0.6643
347.8611   0.5566
347.8681   0.4782
347.8750   0.3823
347.8819   0.2838
347.8889   0.1852
347.8958   0.1033
347.9028   0.0028
