outdectrhtime   outdectrh
342.9779   1.9824
342.9779   2.1124
342.9779   1.9224
342.9779   2.4724
342.9875   0.1085
342.9875   2.2485
342.9875   0.3885
342.9875   2.2785
342.9875   2.1424
342.9875   2.1224
342.9942   0.9885
343.0250   1.6285
343.0250   1.4985
343.0250   1.4785
343.0250   1.5485
343.0250   1.3424
343.0250   1.4924
343.0250   1.3424
343.0250   1.1124
343.0375   1.1225
343.0375   1.0250
343.0387   2.8785
343.0387   2.7685
343.0387   2.6324
343.0387   2.5924
343.0454   2.7325
343.0454   2.0625
343.0454   2.5150
343.0475   2.6885
343.0546   2.2885
343.0546   2.3085
343.0546   2.1724
343.0546   2.1524
343.0625   2.4785
343.0625   2.4185
343.0625   2.3324
343.0625   2.4324
343.0838   2.3925
343.0838   2.3025
343.0838   2.2825
343.0838   2.0450
343.0838   2.1750
343.0838   2.1450
343.0842   1.8685
343.0842   1.8485
343.0842   1.9285
343.0842   1.3624
343.0896   2.8585
343.0896   2.9085
343.0896   2.9685
343.0896   2.6924
343.0896   2.7224
343.0950   1.7724
343.0950   1.8624
343.0971   2.7585
343.0971   2.4485
343.0971   2.7085
343.0971   2.4224
343.0971   2.4224
343.0971   2.6724
343.1017   1.8124
343.1196   0.9285
343.1196   0.7785
343.1196   0.6424
343.1196   0.9424
343.1200   1.1885
343.1379   0.5424
343.1483   2.1785
343.1483   2.0485
343.1483   1.9985
343.1483   2.0885
343.1483   1.8924
343.1483   2.0424
343.1483   1.8524
343.1483   2.3924
343.1496   0.4424
343.1521   0.9725
343.1521   0.9725
343.1521   2.3525
343.1521   0.6050
343.1521   0.7250
343.1808   1.0685
343.1808   1.0685
343.1808   1.3085
343.1808   1.1985
343.1808   1.1385
343.1808   1.1524
343.1808   1.0824
343.1808   0.9224
343.1871   -0.6976
343.1871   -0.6376
343.1958   -1.1015
343.1958   -1.2515
343.1958   -1.2376
343.1979   0.3325
343.1979   0.2125
343.1979   -0.0350
343.1979   0.0850
343.1992   0.4585
343.2000   -1.3915
343.2000   -1.2515
343.2000   -1.1815
343.2000   -1.3976
343.2000   -1.3976
343.2000   -1.3176
343.2033   -1.3176
343.2033   -1.3076
343.2033   -1.2676
343.2183   -1.7215
343.2183   -1.7215
343.2183   -1.7815
343.2183   -1.7515
343.2183   -1.8776
343.2183   -1.8576
343.2183   -1.9176
343.2383   -2.0215
343.2383   -2.0315
343.2383   -2.1576
343.2383   -2.1576
343.2392   -1.8076
343.2392   -1.8076
343.2392   -1.7476
343.2429   -2.1515
343.2429   -2.1515
343.2429   -2.1315
343.2429   -2.2976
343.2429   -2.2576
343.2529   -0.9275
343.2529   -1.7475
343.2529   -0.9875
343.2529   -1.2350
343.2529   -1.1550
343.2617   -1.2575
